date,chatbots_count,completions_count,translations_count,chatbots_chars_total,chatbots_tokens_total,chatbots_energy_kwh,chatbots_carbon_kgCO2e,completions_chars_total,completions_tokens_total,completions_energy_kwh,completions_carbon_kgCO2e,translations_chars_total,translations_tokens_total,translations_energy_kwh,translations_carbon_kgCO2e,genai_carbon_kgCO2e
2025-08-12,1259,108,76,12401150,3100287,2.442040333333333,1.1599691583333331,415800,103950,0.092844,0.0441009,456000,114000,0.05851999999999999,0.027796999999999992,1.231867058333333
2025-08-13,1928,101,17,18990800,4747700,3.739677333333333,1.7763467333333331,388850,97212,0.08682633333333334,0.04124250833333333,102000,25500,0.01309,0.006217749999999999,1.8238069916666666
2025-08-14,1832,99,105,18045200,4511300,3.5534693333333327,1.687897933333333,381150,95287,0.085107,0.040425825000000006,630000,157500,0.08085,0.03840375,1.7667275083333331
2025-08-15,957,57,50,9426450,2356612,1.856261,0.881723975,219450,54862,0.049000999999999996,0.023275474999999997,300000,75000,0.0385,0.0182875,0.92328695
2025-08-16,197,4,0,1940450,485112,0.3821143333333333,0.1815043083333333,15400,3850,0.0034386666666666667,0.0016333666666666666,0,0,0.0,0.0,0.18313767499999997
2025-08-17,502,3,0,4944700,1236175,0.9737126666666666,0.46251351666666657,11550,2887,0.0025789999999999997,0.0012250249999999998,0,0,0.0,0.0,0.46373854166666656
2025-08-18,1676,47,138,16508600,4127150,3.2508813333333326,1.544168633333333,180950,45237,0.04040433333333333,0.01919205833333333,828000,207000,0.10626000000000001,0.050473500000000004,1.6138341916666665
2025-08-19,2076,96,231,20448600,5112150,4.0267479999999995,1.9127052999999998,369600,92400,0.08252799999999999,0.039200799999999994,1386000,346500,0.17787,0.08448824999999999,2.0363943499999997
2025-08-20,2090,127,22,20586500,5146625,4.0539033333333325,1.925604083333333,488950,122237,0.10917766666666665,0.05185939166666665,132000,33000,0.01694,0.0080465,1.9855099749999998
2025-08-21,2220,127,32,21867000,5466750,4.3060599999999996,2.0453785,488950,122237,0.10917766666666665,0.05185939166666665,192000,48000,0.024639999999999995,0.011703999999999997,2.1089418916666665
2025-08-22,2153,544,15,21207050,5301762,4.176102333333333,1.983648608333333,2094400,523600,0.4676586666666666,0.22213786666666663,90000,22500,0.01155,0.00548625,2.2112727249999997
2025-08-23,301,5,0,2964850,741212,0.5838396666666665,0.2773238416666666,19250,4812,0.004298333333333333,0.0020417083333333333,0,0,0.0,0.0,0.27936554999999996
2025-08-24,246,16,0,2423100,605775,0.4771579999999999,0.22665004999999996,61600,15400,0.013754666666666667,0.006533466666666666,0,0,0.0,0.0,0.23318351666666662
2025-08-25,1506,76,127,14834100,3708525,2.9211379999999996,1.3875405499999998,292600,73150,0.06533466666666667,0.03103396666666667,762000,190500,0.09778999999999999,0.04645025,1.4650247666666663
2025-08-26,1725,131,94,16991250,4247812,3.345925,1.5893143749999998,504350,126087,0.11261633333333332,0.05349275833333333,564000,141000,0.07238,0.034380499999999994,1.677187633333333
2025-08-27,1405,131,113,13839250,3459812,2.7252316666666663,1.2944850416666667,504350,126087,0.11261633333333332,0.05349275833333333,678000,169500,0.08700999999999999,0.04132975,1.38930755
2025-08-28,1907,90,134,18783950,4695987,3.6989443333333334,1.7569985583333334,346500,86625,0.07736999999999998,0.03675074999999999,804000,201000,0.10318,0.0490105,1.8427598083333334
2025-08-29,1781,165,104,17542850,4385712,3.4545463333333326,1.640909508333333,635250,158812,0.141845,0.067376375,624000,156000,0.08007999999999998,0.03803799999999999,1.746323883333333
2025-08-30,341,45,0,3358850,839712,0.6614263333333332,0.31417750833333324,173250,43312,0.03868499999999999,0.018375374999999996,0,0,0.0,0.0,0.3325528833333332
2025-08-31,282,65,0,2777700,694425,0.546986,0.25981835000000003,250250,62562,0.05587833333333333,0.02654220833333333,0,0,0.0,0.0,0.28636055833333335
2025-09-01,1412,97,0,13908200,3477050,2.738809333333333,1.3009344333333333,373450,93362,0.08338766666666665,0.03960914166666666,0,0,0.0,0.0,1.3405435749999999
2025-09-02,2032,134,28,20015200,5003800,3.9414026666666664,1.8721662666666665,515900,128975,0.11519533333333332,0.054717783333333325,168000,42000,0.02156,0.010241,1.93712505
2025-09-03,2056,117,146,20251600,5062900,3.987954666666666,1.8942784666666663,450450,112612,0.10058099999999999,0.047775975,876000,219000,0.11241999999999999,0.053399499999999996,1.9954539416666663
2025-09-04,1918,222,83,18892300,4723075,3.720280666666666,1.7671333166666663,854700,213675,0.19084599999999996,0.09065184999999998,498000,124500,0.06391,0.030357249999999995,1.8881424166666663
2025-09-05,2216,161,337,21827600,5456900,4.298301333333333,2.0416931333333332,619850,154962,0.13840633333333333,0.06574300833333334,2022000,505500,0.25949,0.12325775,2.2306938916666668
